# LankaGlyphset rename report
# generated: 2026-06-11T08:53:46
# font: /tmp/AbhayaLibre.glyphs
# DRY_RUN: True
# total glyphs: 1203
# status counts: {'unchanged': 107, 'renamed': 701, 'skip': 388, 'ambiguous': 7}
# renamed but NOT in canonical YAML set (flagged): 386
# ambiguous (left untouched): 7
# feature-code replacements: {'classes': 0, 'featurePrefixes': 1779, 'features': 200} (total 1979)
#   featurePrefixes 'p1': 1779
#   features 'f0': 188
#   features 'f27': 12
#
old_name	new_name	status	in_standard	note
na_va-u-sinh	nVU-sinh	renamed	False	consonant+vowel-sign ligature
na_tha-u-sinh	nThU-sinh	renamed	False	consonant+vowel-sign ligature
ga_dha-u-sinh	gDhU-sinh	renamed	False	consonant+vowel-sign ligature
da_va-u-sinh	dVU-sinh	renamed	False	consonant+vowel-sign ligature
da_dha-u-sinh	dDhU-sinh	renamed	False	consonant+vowel-sign ligature
tta_ttha-u-sinh	ttTthU-sinh	renamed	False	consonant+vowel-sign ligature
nya_ca-u-sinh	nyCU-sinh	renamed	False	consonant+vowel-sign ligature
nya_cha-u-sinh	nyChU-sinh	renamed	False	consonant+vowel-sign ligature
ca_ca-u-sinh	cCU-sinh	renamed	False	consonant+vowel-sign ligature
ba_ba-u-sinh	bBU-sinh	renamed	False	consonant+vowel-sign ligature
ka-uu-sinh	kUu-sinh	renamed	True	consonant+vowel-sign ligature
kha-uu-sinh	khUu-sinh	renamed	False	consonant+vowel-sign ligature
ga-uu-sinh	gUu-sinh	renamed	True	consonant+vowel-sign ligature
gha-uu-sinh	ghUu-sinh	renamed	False	consonant+vowel-sign ligature
ngga-uu-sinh	nngUu-sinh	renamed	False	consonant+vowel-sign ligature
ca-uu-sinh	cUu-sinh	renamed	False	consonant+vowel-sign ligature
cha-uu-sinh	chUu-sinh	renamed	False	consonant+vowel-sign ligature
ja-uu-sinh	jUu-sinh	renamed	False	consonant+vowel-sign ligature
jha-uu-sinh	jhUu-sinh	renamed	False	consonant+vowel-sign ligature
nya-uu-sinh	nyUu-sinh	renamed	True	consonant+vowel-sign ligature
jnya-uu-sinh	jnyUu-sinh	renamed	True	consonant+vowel-sign ligature
nyja-uu-sinh	nyjUu-sinh	renamed	True	consonant+vowel-sign ligature
tta-uu-sinh	ttUu-sinh	renamed	False	consonant+vowel-sign ligature
ttha-uu-sinh	tthUu-sinh	renamed	False	consonant+vowel-sign ligature
dda-uu-sinh	ddUu-sinh	renamed	False	consonant+vowel-sign ligature
ddha-uu-sinh	ddhUu-sinh	renamed	False	consonant+vowel-sign ligature
nna-uu-sinh	nnUu-sinh	renamed	False	consonant+vowel-sign ligature
nndda-uu-sinh	nnddUu-sinh	renamed	False	consonant+vowel-sign ligature
ta-uu-sinh	tUu-sinh	renamed	True	consonant+vowel-sign ligature
tha-uu-sinh	thUu-sinh	renamed	False	consonant+vowel-sign ligature
da-uu-sinh	dUu-sinh	renamed	True	consonant+vowel-sign ligature
dha-uu-sinh	dhUu-sinh	renamed	False	consonant+vowel-sign ligature
na-uu-sinh	nUu-sinh	renamed	False	consonant+vowel-sign ligature
nda-uu-sinh	ndUu-sinh	renamed	True	consonant+vowel-sign ligature
pa-uu-sinh	pUu-sinh	renamed	False	consonant+vowel-sign ligature
pha-uu-sinh	phUu-sinh	renamed	False	consonant+vowel-sign ligature
ba-uu-sinh	bUu-sinh	renamed	False	consonant+vowel-sign ligature
bha-uu-sinh	bhUu-sinh	renamed	True	consonant+vowel-sign ligature
ma-uu-sinh	mUu-sinh	renamed	False	consonant+vowel-sign ligature
mba-uu-sinh	mbUu-sinh	renamed	False	consonant+vowel-sign ligature
ya-uu-sinh	yUu-sinh	renamed	False	consonant+vowel-sign ligature
